接口标识,接口名称,接口地址,接口请求方式,接口参数
uploadUserDateUsingGET,返回导出路径,https://service.bccastle.com/om/company/uploadUserDate,get,"['username', 'userCompanyName', 'mobile', 'accValidCode']"
addUsingPOST_1,添加企业用户,https://service.bccastle.com/om/company/user/addUser,post,"['adAccountName', 'address', 'changPwdAt', 'company', 'consumeCompanyid', 'departmentNumber', 'displayName', 'employeeNumber', 'employeeType', 'fax', 'givenName', 'headPortrait', 'isPassRemind', 'loginInterceptFlagFive', 'loginInterceptFlagFour', 'loginInterceptFlagOne', 'loginInterceptFlagThree', 'loginInterceptFlagTwo', 'loginName', 'loginType', 'mail', 'mobile', 'otpKey', 'password', 'phone', 'pwdPolicy', 'realNameStatus', 'secAccValid', 'serviceCompanyid', 'sorgId', 'spBirthday', 'spCountry', 'spGender', 'spIdentityNumber', 'spIdentityType', 'spNation', 'spOrgCodePath', 'spOrgNamePath', 'spOrgNumber', 'spPasswordModifyRequired', 'spPinyinShortName', 'spPositionNumber', 'spPositionStatus', 'spUpdateDate', 'title', 'uid']"
deleteUsingPOST_1,企业用户删除,https://service.bccastle.com/om/company/user/delete,post,['uids']
getUsingPOST,根据ID查询企业用户,https://service.bccastle.com/om/company/user/get,post,['uid']
getUserListUsingGET,获取用户分页信息,https://service.bccastle.com/om/company/user/getUserList,get,"['username', 'userCompanyName', 'mobile', 'accValidCode', 'page']"
updateUsingPOST_1,企业用户-修改,https://service.bccastle.com/om/company/user/update,post,"['adAccountName', 'address', 'changPwdAt', 'company', 'consumeCompanyid', 'departmentNumber', 'displayName', 'employeeNumber', 'employeeType', 'fax', 'givenName', 'headPortrait', 'isPassRemind', 'loginInterceptFlagFive', 'loginInterceptFlagFour', 'loginInterceptFlagOne', 'loginInterceptFlagThree', 'loginInterceptFlagTwo', 'loginName', 'loginType', 'mail', 'mobile', 'otpKey', 'password', 'phone', 'pwdPolicy', 'realNameStatus', 'secAccValid', 'serviceCompanyid', 'sorgId', 'spBirthday', 'spCountry', 'spGender', 'spIdentityNumber', 'spIdentityType', 'spNation', 'spOrgCodePath', 'spOrgNamePath', 'spOrgNumber', 'spPasswordModifyRequired', 'spPinyinShortName', 'spPositionNumber', 'spPositionStatus', 'spUpdateDate', 'title', 'uid']"
updateAccValidStatusUsingPOST,修改企业用户启用禁用状态,https://service.bccastle.com/om/company/user/updateAccValid,post,"['accValidCode', 'uid']"
confirmPaymentUsingGET,确认结算,https://service.bccastle.com/om/confirmPayment,get,['billId']
deleteAppUsingPOST,删除应用,https://service.bccastle.com/om/deleteApps,post,['ids']
deletePwdPolicyUsingPOST,删除密码策略,https://service.bccastle.com/om/deletePwdPolicy,post,['ids']
